trim,voltage_mean_v
0,-0.13666416
1,0.4400049
2,0.44051528
3,0.44154462
4,0.44151046
5,0.4428933
6,0.44349572
7,0.44423952
8,0.44344032
9,0.44480542
10,0.44528738
11,0.44601066
12,0.44613612
13,0.44677764
14,0.44701972
15,0.44762472
16,0.4468589
17,0.4482586
18,0.44867452
19,0.44958232
20,0.449664
21,0.45056538
22,0.45122606
23,0.45075768
24,0.4479747
25,0.44896418
26,0.4492087
27,0.4500809
28,0.4513754
29,0.45190954
30,0.45263306
31,0.45344314
32,0.4527772
33,0.45414034
34,0.45470378
35,0.45536094
36,0.45529362
37,0.45657634
38,0.45734474
39,0.45781452
40,0.45798856
41,0.4586344
42,0.45880352
43,0.45995652
44,0.46018912
45,0.46053842
46,0.46090844
47,0.46153448
48,0.46090194
49,0.46173104
50,0.46234236
51,0.46285066
52,0.46310482
53,0.4640555
54,0.46450018
55,0.46502158
56,0.4651803
57,0.46598874
58,0.46637738
59,0.46691392
60,0.46733396
61,0.4674757
62,0.4680683
63,0.46868268
64,0.46758444
65,0.46882742
66,0.46939946
67,0.47014548
68,0.47041758
69,0.47120558
70,0.47200648
71,0.47254416
72,0.47258674
73,0.47319856
74,0.47369896
75,0.47407966
76,0.47453054
77,0.47500168
78,0.475268
79,0.4757639
80,0.4756647
81,0.47643716
82,0.47676108
83,0.47748066
84,0.47797242
85,0.4784714
86,0.47906926
87,0.4797963
88,0.47997944
89,0.48050304
90,0.48115152
91,0.48164252
92,0.48212314
93,0.48252984
94,0.48287474
95,0.48339272
96,0.48303308
97,0.4839373
98,0.4843405
99,0.48498128
100,0.48528688
101,0.4854454
102,0.48621942
103,0.48689676
104,0.4870425
105,0.48765036
106,0.48807576
107,0.48842088
108,0.48901994
109,0.4897961
110,0.48996258
111,0.4905935
112,0.49066844
113,0.49138876
114,0.49158376
115,0.49231892
116,0.49259956
117,0.49313482
118,0.493741
119,0.49441012
120,0.4945303
121,0.49530626
122,0.49568138
123,0.49631866
124,0.49684518
125,0.49739812
126,0.49739846
127,0.49767736
128,0.38076116
129,0.38196566
130,0.38222758
131,0.38288126
132,0.38320038
133,0.383778
134,0.38433432
135,0.38519136
136,0.38537672
137,0.38612124
138,0.38633126
139,0.3869169
140,0.3860165
141,0.38807496
142,0.3885922
143,0.38900426
144,0.38896516
145,0.38970456
146,0.39000786
147,0.39055436
148,0.39093416
149,0.39135292
150,0.39186294
151,0.3922498
152,0.39235078
153,0.3930674
154,0.39352034
155,0.39440932
156,0.39479862
157,0.39533826
158,0.39554386
159,0.3961818
160,0.39586088
161,0.39657992
162,0.39739748
163,0.39769336
164,0.39802462
165,0.39848916
166,0.3990864
167,0.39973388
168,0.40034008
169,0.40082292
170,0.4013387
171,0.40185708
172,0.40226386
173,0.40275622
174,0.40346656
175,0.40365422
176,0.40402844
177,0.404346
178,0.40440134
179,0.40478602
180,0.40506248
181,0.40584166
182,0.40633932
183,0.4068779
184,0.4075167
185,0.4079475
186,0.40847962
187,0.4091427
188,0.40966008
189,0.41023264
190,0.41069118
191,0.41114944
192,0.41041358
193,0.41136536
194,0.41201488
195,0.41246412
196,0.41272826
197,0.41142544
198,0.41352224
199,0.41439802
200,0.41481842
201,0.41551554
202,0.41548188
203,0.41625946
204,0.41664198
205,0.41693354
206,0.41784076
207,0.41811834
208,0.41825296
209,0.4190846
210,0.41954396
211,0.41983222
212,0.42018048
213,0.42067662
214,0.4211432
215,0.42171474
216,0.42207616
217,0.42277388
218,0.42316286
219,0.4237194
220,0.42436264
221,0.42494972
222,0.42544002
223,0.42537928
224,0.42589002
225,0.4263691
226,0.4265561
227,0.42745692
228,0.427289
229,0.42770526
230,0.42801212
231,0.42854912
232,0.42920992
233,0.43000338
234,0.4301856
235,0.43085744
236,0.4314929
237,0.43188204
238,0.43257906
239,0.43308806
240,0.43288874
241,0.43374738
242,0.4344383
243,0.43478634
244,0.43502758
245,0.43549982
246,0.43558474
247,0.43650044
248,0.43693778
249,0.43744314
250,0.4379326
251,0.43852724
252,0.43899368
253,0.43905758
254,0.43971946
255,0.44013008
