Corner,In0,In1,In2,In3,In4,In5,In6,In7,cmn018_assp_v1d3_usage_298K.scs,Pass/Fail,VGS1,VGS2,Sensorout0,Sensorout1,v /VGS1; dc (V),v /VGS2; dc (V),v /SENSOROUT0; dc (V),v /SENSOROUT1; dc (V),IN_3,OUT1,OUT2,OUT3,OUT4
298K_164,0,0,1.8,0,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,422.8e-3,277.7e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_165,1.8,0,1.8,0,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,423.2e-3,278.2e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_166,0,1.8,1.8,0,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,423.7e-3,278.7e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_167,1.8,1.8,1.8,0,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,424.2e-3,279.2e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_168,0,0,0,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,424.8e-3,279.7e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_169,1.8,0,0,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,425.3e-3,280.2e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_170,0,1.8,0,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,425.8e-3,280.7e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_171,1.8,1.8,0,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,426.3e-3,281.2e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_172,0,0,1.8,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,426.8e-3,281.7e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_173,1.8,0,1.8,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,427.3e-3,282.2e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_174,0,1.8,1.8,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,427.8e-3,282.7e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_175,1.8,1.8,1.8,1.8,0,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,428.3e-3,283.2e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_176,0,0,0,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,428.8e-3,283.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_177,1.8,0,0,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,429.3e-3,284.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_178,0,1.8,0,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,429.8e-3,284.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_179,1.8,1.8,0,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,430.3e-3,285.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_180,0,0,1.8,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,430.8e-3,285.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_181,1.8,0,1.8,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,431.3e-3,286.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_182,0,1.8,1.8,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,431.8e-3,286.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_183,1.8,1.8,1.8,0,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,432.3e-3,287.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_184,0,0,0,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,432.8e-3,287.8e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_185,1.8,0,0,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,433.3e-3,288.3e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_186,0,1.8,0,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,433.8e-3,288.8e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_187,1.8,1.8,0,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,434.3e-3,289.3e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_188,0,0,1.8,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,434.8e-3,289.8e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_189,1.8,0,1.8,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,435.3e-3,290.3e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_190,0,1.8,1.8,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,435.8e-3,290.8e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_191,1.8,1.8,1.8,1.8,1.8,1.8,0,1.8,tt_lib,,339.9e-3,274.3e-3,436.3e-3,291.3e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_192,0,0,0,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,436.8e-3,291.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_193,1.8,0,0,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,437.3e-3,292.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_194,0,1.8,0,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,437.8e-3,292.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_195,1.8,1.8,0,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,438.3e-3,293.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_196,0,0,1.8,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,438.8e-3,293.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_197,1.8,0,1.8,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,439.3e-3,294.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_198,0,1.8,1.8,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,439.8e-3,294.8e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_199,1.8,1.8,1.8,0,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,440.3e-3,295.3e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_200,0,0,0,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,440.8e-3,295.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_201,1.8,0,0,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,441.3e-3,296.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_202,0,1.8,0,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,441.8e-3,296.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_203,1.8,1.8,0,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,442.3e-3,297.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_204,0,0,1.8,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,442.8e-3,297.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_205,1.8,0,1.8,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,443.3e-3,298.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_206,0,1.8,1.8,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,443.8e-3,298.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_207,1.8,1.8,1.8,1.8,0,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,444.3e-3,299.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_208,0,0,0,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,444.9e-3,299.9e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_209,1.8,0,0,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,445.4e-3,300.4e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_210,0,1.8,0,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,445.9e-3,300.9e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_211,1.8,1.8,0,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,446.4e-3,301.4e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_212,0,0,1.8,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,446.9e-3,301.9e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_213,1.8,0,1.8,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,447.4e-3,302.4e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_214,0,1.8,1.8,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,447.9e-3,302.9e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_215,1.8,1.8,1.8,0,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,448.4e-3,303.4e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_216,0,0,0,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,448.9e-3,303.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_217,1.8,0,0,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,449.4e-3,304.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_218,0,1.8,0,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,449.9e-3,304.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_219,1.8,1.8,0,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,450.4e-3,305.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_220,0,0,1.8,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,450.9e-3,305.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_221,1.8,0,1.8,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,451.4e-3,306.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_222,0,1.8,1.8,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,451.9e-3,306.9e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_223,1.8,1.8,1.8,1.8,1.8,0,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,452.4e-3,307.4e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_224,0,0,0,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,452.9e-3,308e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_225,1.8,0,0,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,453.4e-3,308.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_226,0,1.8,0,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,453.9e-3,309e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_227,1.8,1.8,0,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,454.4e-3,309.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_228,0,0,1.8,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,454.9e-3,310e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_229,1.8,0,1.8,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,455.4e-3,310.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_230,0,1.8,1.8,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,455.9e-3,311e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_231,1.8,1.8,1.8,0,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,456.4e-3,311.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_232,0,0,0,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,456.9e-3,312e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_233,1.8,0,0,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,457.4e-3,312.5e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_234,0,1.8,0,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,457.9e-3,313e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_235,1.8,1.8,0,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,458.4e-3,313.5e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_236,0,0,1.8,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,458.9e-3,314e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_237,1.8,0,1.8,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,459.4e-3,314.5e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_238,0,1.8,1.8,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,459.9e-3,315e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_239,1.8,1.8,1.8,1.8,0,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,460.4e-3,315.5e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_240,0,0,0,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,460.9e-3,316e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_241,1.8,0,0,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,461.4e-3,316.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_242,0,1.8,0,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,461.9e-3,317e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_243,1.8,1.8,0,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,462.4e-3,317.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_244,0,0,1.8,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,462.9e-3,318e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_245,1.8,0,1.8,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,463.4e-3,318.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_246,0,1.8,1.8,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,463.9e-3,319e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_247,1.8,1.8,1.8,0,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,464.4e-3,319.5e-3,eval err,eval err,eval err,eval err,0,eval err,eval err,eval err,eval err
298K_248,0,0,0,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,464.9e-3,320.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_249,1.8,0,0,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,465.4e-3,320.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_250,0,1.8,0,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,465.9e-3,321.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_251,1.8,1.8,0,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,466.4e-3,321.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_252,0,0,1.8,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,466.9e-3,322.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_253,1.8,0,1.8,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,467.4e-3,322.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_254,0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,467.9e-3,323.1e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
298K_255,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,tt_lib,,339.9e-3,274.3e-3,468.4e-3,323.6e-3,eval err,eval err,eval err,eval err,1.8,eval err,eval err,eval err,eval err
