checkpoint_index,target_k,setpoint_readback_k,final_wait_temp_k,actual_temp_mean_k,actual_temp_std_k,voltage_mean_v,voltage_std_v,voltage_samples,wait_s,elapsed_s,final_slope_k_per_min
1,302.0,302.0,302.0156,302.007935,0.004848361090425519,-0.0395837455,2.1902835673206727e-07,20,506.20299999999406,523.7969999999914,
2,303.0,303.0,303.0157,303.00812,0.004688687393472095,-0.039583922,3.8185971521689976e-07,20,432.3909999999887,449.42200000000594,
3,304.0,304.0,304.0136,304.00574,0.004668866649350568,-0.0395832415,2.565822941752122e-07,20,406.5149999999994,424.20299999999406,
4,305.0,305.0,305.0159,305.0066,0.00433431837657267,-0.0395838165,2.6103589186582616e-07,20,440.1399999999994,457.76600000000326,
