metric,checkpoint_1,checkpoint_2,checkpoint_3,checkpoint_4
target_k,302.0,303.0,304.0,305.0
voltage_mean_v,-0.0395837455,-0.039583922,-0.0395832415,-0.0395838165
voltage_std_v,2.1902835673206727e-07,3.8185971521689976e-07,2.565822941752122e-07,2.6103589186582616e-07
actual_temp_mean_k,302.007935,303.00812,304.00574,305.0066
actual_temp_std_k,0.004848361090425519,0.004688687393472095,0.004668866649350568,0.00433431837657267
wait_s,506.20299999999406,432.3909999999887,406.5149999999994,440.1399999999994
