sample_index,timestamp,target_k,actual_temp_k,voltage_v,checkpoint_index,setpoint_readback_k,wait_s
6,2026-06-16T17:15:46,304.0,304.0092,-0.03958319,3,304.0,406.5149999999994
7,2026-06-16T17:15:47,304.0,304.0087,-0.03958303,3,304.0,406.5149999999994
8,2026-06-16T17:15:48,304.0,304.0079,-0.0395832,3,304.0,406.5149999999994
9,2026-06-16T17:15:49,304.0,304.0074,-0.0395831,3,304.0,406.5149999999994
10,2026-06-16T17:15:50,304.0,304.0066,-0.0395833,3,304.0,406.5149999999994
11,2026-06-16T17:15:51,304.0,304.0039,-0.0395826,3,304.0,406.5149999999994
12,2026-06-16T17:15:51,304.0,304.0052,-0.03958328,3,304.0,406.5149999999994
13,2026-06-16T17:15:52,304.0,304.0039,-0.03958321,3,304.0,406.5149999999994
14,2026-06-16T17:15:53,304.0,304.0034,-0.03958349,3,304.0,406.5149999999994
15,2026-06-16T17:15:54,304.0,304.0026,-0.03958368,3,304.0,406.5149999999994
16,2026-06-16T17:15:55,304.0,304.0026,-0.03958339,3,304.0,406.5149999999994
17,2026-06-16T17:15:56,304.0,303.9986,-0.03958341,3,304.0,406.5149999999994
18,2026-06-16T17:15:56,304.0,304.0004,-0.0395834,3,304.0,406.5149999999994
19,2026-06-16T17:15:57,304.0,303.9981,-0.03958331,3,304.0,406.5149999999994
20,2026-06-16T17:15:58,304.0,303.999,-0.03958362,3,304.0,406.5149999999994
1,2026-06-16T17:23:20,305.0,305.0159,-0.03958407,4,305.0,440.1399999999994
2,2026-06-16T17:23:21,305.0,305.0115,-0.03958347,4,305.0,440.1399999999994
3,2026-06-16T17:23:22,305.0,305.0128,-0.03958414,4,305.0,440.1399999999994
4,2026-06-16T17:23:22,305.0,305.0093,-0.0395838,4,305.0,440.1399999999994
5,2026-06-16T17:23:23,305.0,305.0106,-0.03958377,4,305.0,440.1399999999994
6,2026-06-16T17:23:24,305.0,305.0093,-0.03958366,4,305.0,440.1399999999994
7,2026-06-16T17:23:25,305.0,305.0101,-0.03958376,4,305.0,440.1399999999994
8,2026-06-16T17:23:26,305.0,305.0062,-0.03958361,4,305.0,440.1399999999994
9,2026-06-16T17:23:27,305.0,305.0075,-0.03958369,4,305.0,440.1399999999994
10,2026-06-16T17:23:27,305.0,305.0066,-0.03958323,4,305.0,440.1399999999994
11,2026-06-16T17:23:28,305.0,305.007,-0.03958405,4,305.0,440.1399999999994
12,2026-06-16T17:23:29,305.0,305.0062,-0.03958388,4,305.0,440.1399999999994
13,2026-06-16T17:23:30,305.0,305.0044,-0.03958389,4,305.0,440.1399999999994
14,2026-06-16T17:23:31,305.0,305.004,-0.03958359,4,305.0,440.1399999999994
15,2026-06-16T17:23:32,305.0,305.004,-0.03958352,4,305.0,440.1399999999994
16,2026-06-16T17:23:33,305.0,305.0026,-0.03958378,4,305.0,440.1399999999994
17,2026-06-16T17:23:33,305.0,305.0018,-0.03958395,4,305.0,440.1399999999994
18,2026-06-16T17:23:34,305.0,305.0022,-0.03958419,4,305.0,440.1399999999994
19,2026-06-16T17:23:35,305.0,305.0,-0.03958411,4,305.0,440.1399999999994
20,2026-06-16T17:23:36,305.0,305.0,-0.03958417,4,305.0,440.1399999999994
