sample_index,timestamp,target_k,actual_temp_k,voltage_v,checkpoint_index,setpoint_readback_k,wait_s
1,2026-06-16T17:01:09,302.0,302.0156,-0.03958385,1,302.0,506.20299999999406
2,2026-06-16T17:01:09,302.0,302.0161,-0.03958378,1,302.0,506.20299999999406
3,2026-06-16T17:01:10,302.0,302.0139,-0.03958376,1,302.0,506.20299999999406
4,2026-06-16T17:01:11,302.0,302.013,-0.03958381,1,302.0,506.20299999999406
5,2026-06-16T17:01:12,302.0,302.0103,-0.03958383,1,302.0,506.20299999999406
6,2026-06-16T17:01:13,302.0,302.0117,-0.03958387,1,302.0,506.20299999999406
7,2026-06-16T17:01:14,302.0,302.0112,-0.03958392,1,302.0,506.20299999999406
8,2026-06-16T17:01:14,302.0,302.0099,-0.03958346,1,302.0,506.20299999999406
9,2026-06-16T17:01:15,302.0,302.009,-0.0395837,1,302.0,506.20299999999406
10,2026-06-16T17:01:16,302.0,302.0086,-0.03958388,1,302.0,506.20299999999406
11,2026-06-16T17:01:17,302.0,302.0077,-0.03958384,1,302.0,506.20299999999406
12,2026-06-16T17:01:18,302.0,302.0068,-0.03958405,1,302.0,506.20299999999406
13,2026-06-16T17:01:19,302.0,302.0064,-0.03958349,1,302.0,506.20299999999406
14,2026-06-16T17:01:20,302.0,302.0055,-0.03958394,1,302.0,506.20299999999406
15,2026-06-16T17:01:20,302.0,302.0033,-0.03958355,1,302.0,506.20299999999406
16,2026-06-16T17:01:21,302.0,302.0037,-0.03958422,1,302.0,506.20299999999406
17,2026-06-16T17:01:22,302.0,302.0019,-0.03958346,1,302.0,506.20299999999406
18,2026-06-16T17:01:23,302.0,302.0024,-0.03958345,1,302.0,506.20299999999406
19,2026-06-16T17:01:24,302.0,302.0028,-0.03958347,1,302.0,506.20299999999406
20,2026-06-16T17:01:25,302.0,301.9989,-0.03958358,1,302.0,506.20299999999406
1,2026-06-16T17:08:39,303.0,303.0157,-0.03958378,2,303.0,432.3909999999887
2,2026-06-16T17:08:39,303.0,303.0135,-0.03958369,2,303.0,432.3909999999887
3,2026-06-16T17:08:40,303.0,303.0139,-0.03958384,2,303.0,432.3909999999887
4,2026-06-16T17:08:40,303.0,303.0126,-0.03958395,2,303.0,432.3909999999887
5,2026-06-16T17:08:41,303.0,303.0135,-0.03958386,2,303.0,432.3909999999887
6,2026-06-16T17:08:42,303.0,303.0109,-0.03958385,2,303.0,432.3909999999887
7,2026-06-16T17:08:43,303.0,303.0104,-0.03958331,2,303.0,432.3909999999887
8,2026-06-16T17:08:44,303.0,303.0095,-0.03958364,2,303.0,432.3909999999887
9,2026-06-16T17:08:45,303.0,303.0104,-0.03958366,2,303.0,432.3909999999887
10,2026-06-16T17:08:45,303.0,303.0104,-0.03958331,2,303.0,432.3909999999887
11,2026-06-16T17:08:46,303.0,303.0073,-0.03958433,2,303.0,432.3909999999887
12,2026-06-16T17:08:47,303.0,303.0069,-0.03958362,2,303.0,432.3909999999887
13,2026-06-16T17:08:48,303.0,303.0069,-0.0395844,2,303.0,432.3909999999887
14,2026-06-16T17:08:49,303.0,303.0065,-0.0395844,2,303.0,432.3909999999887
15,2026-06-16T17:08:50,303.0,303.0038,-0.03958399,2,303.0,432.3909999999887
16,2026-06-16T17:08:51,303.0,303.0051,-0.03958401,2,303.0,432.3909999999887
17,2026-06-16T17:08:51,303.0,303.0007,-0.03958365,2,303.0,432.3909999999887
18,2026-06-16T17:08:52,303.0,303.0025,-0.03958411,2,303.0,432.3909999999887
19,2026-06-16T17:08:53,303.0,303.0012,-0.03958418,2,303.0,432.3909999999887
20,2026-06-16T17:08:54,303.0,303.0007,-0.03958486,2,303.0,432.3909999999887
1,2026-06-16T17:15:42,304.0,304.0136,-0.03958324,3,304.0,406.5149999999994
2,2026-06-16T17:15:43,304.0,304.0109,-0.03958347,3,304.0,406.5149999999994
3,2026-06-16T17:15:44,304.0,304.0114,-0.03958299,3,304.0,406.5149999999994
4,2026-06-16T17:15:45,304.0,304.0109,-0.03958288,3,304.0,406.5149999999994
5,2026-06-16T17:15:45,304.0,304.0105,-0.03958304,3,304.0,406.5149999999994
