checkpoint_index,target_k,setpoint_readback_k,final_wait_temp_k,actual_temp_mean_k,actual_temp_std_k,voltage_mean_v,voltage_std_v,voltage_samples,wait_s,elapsed_s,final_slope_k_per_min
1,300.0,300.0,300.0473,300.06654,0.011294265998479776,-0.039583423,2.3390643903555956e-07,10,137.79700000000594,146.67199999999139,
2,301.0,301.0,301.008,301.00218,0.004386798376956916,-0.039582892,2.531490557850206e-07,10,406.54700000000594,415.0,
